SCHOOL_TYPE,SPORT_CODE,NCAA_DIVISION,NCAA_SUBDIVISION,NCAA_CONFERENCE,FOURYEAR_ELIGIBILITY,FOURYEAR_RETENTION
0.0,1.0,1.0,2.0,Southwestern Athletic Conference,0.902,0.9536
0.0,4.0,1.0,2.0,Southwestern Athletic Conference,0.8861,0.9613
0.0,2.0,1.0,2.0,Southwestern Athletic Conference,0.9177,0.988
0.0,6.0,1.0,2.0,Southwestern Athletic Conference,0.7949,0.8462
0.0,13.0,1.0,2.0,Southwestern Athletic Conference,0.913,1.0
0.0,14.0,1.0,2.0,Southwestern Athletic Conference,0.8833,0.9829
0.0,15.0,1.0,2.0,Southwestern Athletic Conference,0.8879,0.9913
0.0,19.0,1.0,2.0,Southwestern Athletic Conference,0.9903,0.9899
0.0,20.0,1.0,2.0,Southwestern Athletic Conference,1.0,1.0
0.0,21.0,1.0,2.0,Southwestern Athletic Conference,0.9539,1.0
0.0,31.0,1.0,2.0,Southwestern Athletic Conference,0.8947,0.9868
0.0,29.0,1.0,2.0,Southwestern Athletic Conference,0.9044,0.9211
0.0,33.0,1.0,2.0,Southwestern Athletic Conference,0.9063,1.0
0.0,34.0,1.0,2.0,Southwestern Athletic Conference,0.9556,0.9778
0.0,35.0,1.0,2.0,Southwestern Athletic Conference,0.9434,0.9811
0.0,36.0,1.0,2.0,Southwestern Athletic Conference,0.9167,0.9759
0.0,1.0,1.0,1.0,Conference USA,0.9706,0.9702
0.0,2.0,1.0,1.0,Conference USA,1.0,0.9462
0.0,6.0,1.0,1.0,Conference USA,0.9756,0.9634
0.0,11.0,1.0,1.0,Conference USA,0.9688,0.9669
0.0,13.0,1.0,1.0,Conference USA,0.9867,0.9865
0.0,19.0,1.0,1.0,Conference USA,0.9917,0.9746
0.0,21.0,1.0,1.0,Conference USA,0.9758,0.9756
0.0,25.0,1.0,1.0,Conference USA,0.9851,0.9849
0.0,31.0,1.0,1.0,Conference USA,0.9946,0.9719
0.0,29.0,1.0,1.0,Conference USA,0.9887,0.9887
0.0,33.0,1.0,1.0,Conference USA,1.0,1.0
0.0,34.0,1.0,1.0,Conference USA,0.9822,0.9821
0.0,35.0,1.0,1.0,Conference USA,0.9866,0.9821
0.0,36.0,1.0,1.0,Conference USA,0.9806,0.98
0.0,8.0,2.0,Missing,Gulf South Conference,0.9586,0.9375
0.0,1.0,1.0,2.0,Southwestern Athletic Conference,0.9171,0.9683
0.0,4.0,1.0,2.0,Southwestern Athletic Conference,0.8527,0.893
0.0,2.0,1.0,2.0,Southwestern Athletic Conference,0.8269,0.8812
0.0,3.0,1.0,2.0,Southwestern Athletic Conference,0.88,0.9792
0.0,6.0,1.0,2.0,Southwestern Athletic Conference,1.0,0.9487
0.0,13.0,1.0,2.0,Southwestern Athletic Conference,0.8966,0.8947
0.0,14.0,1.0,2.0,Southwestern Athletic Conference,0.8906,0.9762
0.0,15.0,1.0,2.0,Southwestern Athletic Conference,0.8966,0.9737
0.0,19.0,1.0,2.0,Southwestern Athletic Conference,0.9597,0.9672
0.0,20.0,1.0,2.0,Southwestern Athletic Conference,1.0,0.9362
0.0,21.0,1.0,2.0,Southwestern Athletic Conference,1.0,0.9804
